name,id,texture,count,quality,canUse,level,levelColHeader,minBid,minIncrement,buyoutPrice,bidAmount,highBidder,bidderFullName,owner,ownerFullName,saleStatus
1445,1445,135038,1,-1,false,854894080,9031,0,9506,0,false,0
1445,1445,135038,1,-1,false,854894080,9032,0,9507,0,false,0
Suede Cloak of Frost Protection,36404,133755,1,2,false,68,REQ_LEVEL_ABBR,57347,0,70000,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
43867,43867,254292,1,-1,false,854894080,56418,0,59387,0,false,0
10023,10023,132943,1,-1,false,854894080,5433926,0,5433926,0,false,0
39952,39952,237208,1,-1,false,854894080,40438,0,42566,0,false,0
Arcane Elixir,9155,134810,5,1,false,37,REQ_LEVEL_ABBR,114000,0,120000,0,false,0
Arcane Elixir,9155,134810,5,1,false,37,REQ_LEVEL_ABBR,113996,0,119995,0,false,0
Arcane Elixir,9155,134810,5,1,false,37,REQ_LEVEL_ABBR,114000,0,120000,0,false,0
Arcane Elixir,9155,134810,20,1,false,37,REQ_LEVEL_ABBR,474981,0,499980,0,false,0
Arcane Elixir,9155,134810,5,1,false,37,REQ_LEVEL_ABBR,113996,0,119995,0,false,0
Arcane Elixir,9155,134810,1,1,false,37,REQ_LEVEL_ABBR,19094,0,20098,0,false,0
Arcane Elixir,9155,134810,5,1,false,37,REQ_LEVEL_ABBR,113996,0,119995,0,false,0
Arcane Elixir,9155,134810,5,1,false,37,REQ_LEVEL_ABBR,113996,0,119995,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,142497,0,149996,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,142497,0,149996,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,148500,0,27110101,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,142497,0,149996,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,142497,0,149996,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,134999,0,149998,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,149995,0,149995,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,149995,0,149995,0,false,0
Glyph of Focus,44928,254289,1,1,false,70,REQ_LEVEL_ABBR,147495,0,147495,0,false,0
21114,21114,132791,4,-1,false,854894080,10526,0,11080,0,false,0
21114,21114,132791,1,-1,false,854894080,2632,0,2770,0,false,0
41114,41114,132962,1,-1,false,854894080,369599,0,419999,0,false,0
41114,41114,132962,1,-1,false,854894080,406591,0,420000,0,false,0
Murphstar of the Bear,1207,133490,1,2,false,34,REQ_LEVEL_ABBR,19000,0,20000,0,false,0
6811,6811,134440,20,-1,false,854894080,2050,0,2500,0,false,0
24847,24847,132554,1,-1,false,854894080,138938,0,146250,0,false,0
1959,1959,134707,1,-1,false,854894080,5297,0,5575,0,false,0
Banded Cloak of the Bear,9838,133758,1,2,true,24,REQ_LEVEL_ABBR,9500,0,10000,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,58175,0,58175,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,38000,0,40000,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,5040,0,27110100,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,58175,0,58175,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,225,0,0,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,58175,0,58175,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,58175,0,58175,0,false,0
Lesser Mana Potion,3385,134851,2,1,true,14,REQ_LEVEL_ABBR,23270,0,23270,0,false,0
Lesser Mana Potion,3385,134851,2,1,true,14,REQ_LEVEL_ABBR,2047,0,2154,0,false,0
Lesser Mana Potion,3385,134851,1,1,true,14,REQ_LEVEL_ABBR,1045,0,1099,0,false,0
Lesser Mana Potion,3385,134851,20,1,true,14,REQ_LEVEL_ABBR,900,0,0,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,58175,0,58175,0,false,0
Lesser Mana Potion,3385,134851,5,1,true,14,REQ_LEVEL_ABBR,5111,0,5380,0,false,0
Lesser Mana Potion,3385,134851,1,1,true,14,REQ_LEVEL_ABBR,44,0,1050,0,false,0
8959,8959,133908,5,-1,false,854894080,11975,0,12605,0,false,0
8959,8959,133908,2,-1,false,854894080,1748,0,1840,0,false,0
8959,8959,133908,2,-1,false,854894080,4792,0,5044,0,false,0
4576,4576,135495,1,-1,false,854894080,10843,0,10843,0,false,0
14341,14341,136120,1,-1,false,854894080,59398,0,59398,0,false,0
14341,14341,136120,1,-1,false,854894080,59398,0,59398,0,false,0
14341,14341,136120,1,-1,false,854894080,59398,0,59398,0,false,0
14341,14341,136120,1,-1,false,854894080,59398,0,59398,0,false,0
14341,14341,136120,1,-1,false,854894080,59398,0,59398,0,false,0
Bog Lord Tendril,24291,134324,1,1,true,1,REQ_LEVEL_ABBR,3228,0,3398,0,false,0
Bog Lord Tendril,24291,134324,10,1,true,1,REQ_LEVEL_ABBR,32291,0,33990,0,false,0
Bog Lord Tendril,24291,134324,10,1,true,1,REQ_LEVEL_ABBR,32291,0,33990,0,false,0
Bog Lord Tendril,24291,134324,9,1,true,1,REQ_LEVEL_ABBR,29045,0,30573,0,false,0
Bog Lord Tendril,24291,134324,10,1,true,1,REQ_LEVEL_ABBR,32291,0,33990,0,false,0
Bog Lord Tendril,24291,134324,10,1,true,1,REQ_LEVEL_ABBR,32291,0,33990,0,false,0
Bog Lord Tendril,24291,134324,10,1,true,1,REQ_LEVEL_ABBR,32291,0,33990,0,false,0
